key,oid_boxable_leaf,coco_boxable_name,mvd_boxable_name
accordion,/m/0mkg,,
adhesive_tape,/m/03m3vtv,,
air_conditioner,,,
airplane,/m/0cmf2,airplane,
alarm_clock,/m/046dlr,,
alpaca,/m/0pcr,,
ambulance,/m/012n7d,,
american_football,/m/01226z,,
ant,/m/0_k2,,
antelope,/m/0czz2,,
apple,/m/014j1m,apple,
arm,/m/0dzf4,,
artichoke,/m/047v4b,,
avocado,,,
awning,,,
backpack,/m/01940j,backpack,
bagel,/m/01fb_0,,
ball,,sports ball,
balloon,/m/01j51,,
banana,/m/09qck,banana,
banner,,,object--banner
baozi,,,
bar_soap,,,
barbell,,,
barge,/m/01btn,,
barrel,/m/02zn6n,,
baseball,,,
baseball_bat,/m/03g8mr,baseball bat,
baseball_glove,/m/03grzl,baseball glove,
basket,,,
basketball,,,
bat,/m/01h44,,
bathroom_cabinet,/m/04y4h8h,,
bathtub,/m/03dnzn,,
beaker,/m/0d20w4,,
bear,,bear,
beard,/m/015h_t,,
bed,,bed,
bee,/m/01h3n,,
beehive,/m/01gllr,,
beer,/m/01599,,
bell_pepper,/m/0jg57,,
belt,/m/0176mf,,
bench,/m/0cvnqh,bench,object--bench
bicycle,/m/0199g,bicycle,object--vehicle--bicycle
bicycle_helmet,/m/03p3bw,,
bicycle_wheel,/m/01bqk0,,
bicyclist,,,human--rider--bicyclist
bidet,/m/01vbnl,,
bike_rack,,,object--bike-rack
billboard,/m/01knjb,,object--billboard
billiard_ball,,,
billiard_table,/m/04p0qw,,
binoculars,/m/0lt4_,,
bird,,bird,animal--bird
blender,/m/02pjr4,,
blue_jay,/m/01f8m5,,
board_eraser,,,
boat,,boat,object--vehicle--boat
book,/m/0bt_c3,book,
bookcase,/m/03__z0,,
boot,/m/01b638,,
bottle,/m/04dr76w,bottle,
bow_and_arrow,/m/01g3x7,,
bow_tie,,,
bowl,/m/04kkgm,bowl,
box,/m/025dyy,,
boy,/m/01bl7v,,
bracelet,,,
brassiere,/m/01gmv2,,
bread,/m/09728,,
briefcase,/m/0584n8,,
broccoli,/m/0hkxq,broccoli,
bronze_sculpture,/m/01yx86,,
broom,,,
brown_bear,/m/01dxs,,
brush,,,
bull,/m/0cnyhnx,,
burrito,/m/01j3zr,,
bus,/m/01bjv,bus,object--vehicle--bus
bust,/m/04yqq2,,
butterfly,/m/0cyf8,,
cabbage,/m/0fbw6,,
cabinetry,/m/01s105,,
cake,/m/0fszt,cake,
cake_stand,/m/0h8n6ft,,
calculator,,,
camel,/m/01x_v,,
camera,/m/0dv5r,,
canary,/m/0ccs93,,
candle,/m/0c06p,,
candy,/m/0gm28,,
cannon,/m/020kz,,
canoe,/m/0ph39,,
cantaloupe,,,
car,,car,object--vehicle--car
caravan,,,object--vehicle--caravan
carrot,/m/0fj52s,carrot,
cart,/m/018p4k,,
castle,/m/0d5gx,,
cat,/m/01yrx,cat,
catch_basin,,,object--catch-basin
caterpillar,/m/0cydv,,
cattle,/m/01xq0k1,,
ceiling_fan,/m/03ldnb,,
cello,/m/01xqw,,
centipede,/m/019h78,,
chainsaw,,,
chair,/m/01mzpv,chair,
cheese,,,
cheetah,/m/0cd4d,,
cherry,,,
chest_of_drawers,/m/05kyg_,,
chicken,/m/09b5t,,
chopstick,/m/01_5g,,
christmas_tree,/m/025nd,,
cleaning_products,,,
clock,,clock,
coat,/m/01xygc,,
cocktail,/m/024g6,,
coconut,/m/0djtd,,
coffee,/m/02vqfm,,
coffee_cup,/m/02p5f1q,,
coffee_table,/m/078n6m,,
coffeemaker,/m/07xyvk,,
coin,/m/0242l,,
comb,,,
compact_disc,,,
computer_keyboard,/m/01m2v,keyboard,
computer_monitor,/m/02522,,
computer_mouse,/m/020lf,,
construction_vehicle,,,
convenience_store,/m/0crjs,,
cookie,/m/021mn,,
corded_phone,/m/0h8lkj8,,
corn,,,
cosmetic,,,
cosmetics_mirror,,,
couch,/m/0703r8,couch,
countertop,/m/0b3fp9,,
cow,,cow,
cowboy_hat,/m/025rp__,,
crab,/m/0n28_,,
crane,,,
cricket_ball,/m/02ctlc,,
crocodile,/m/09f_2,,
croissant,/m/015wgc,,
crosswalk_sign,,,
crown,/m/0nl46,,
crutch,/m/05441v,,
cucumber,/m/015x4r,,
cue,,,
cup,,cup,
cupboard,/m/0642b4,,
curling_stone,,,
curtain,/m/03rszm,,
cutting_board,/m/02pdsw,,
cymbal,,,
dagger,/m/02gzp,,
deer,/m/09kx5,,
desk,/m/01y9k5,,
desktop_computer,,,
dessert,,,
dice,/m/029b3,,
digital_clock,/m/06_72j,,
dining_table,,dining table,
dinosaur,/m/029tx,,
dishwasher,,,
dog,/m/0bt9lr,dog,
dog_bed,/m/0h8n6f9,,
doll,/m/0167gd,,
dolphin,/m/02hj4,,
donkey,,,
donut,/m/0jy4k,donut,
door,/m/02dgv,,
door_handle,/m/03c7gz,,
dragonfly,/m/0ft9s,,
drawer,/m/0fqfqc,,
dress,/m/01d40f,,
drinking_straw,/m/03v5tg,,
drum,/m/026t6,,
duck,/m/09ddx,,
dumbbell,/m/04h8sr,,
dumpling,,,
durian,,,
eagle,/m/09csl,,
ear,/m/039xj_,,
earbud,,,
earring,/m/01r546,,
egg,/m/033cnk,,
eggplant,,,
electric_drill,,,
electric_fan,/m/02x984l,,
elephant,/m/0bwd_0j,elephant,
envelope,/m/0frqm,,
eraser,,,
exhaust_hood,,,
extension_cord,,,
eye,/m/014sv8,,
eyeglasses,/m/0jyfg,,
eyeliner_pencil,,,
face,/m/0dzct,,
falcon,/m/0f6wt,,
fedora,/m/02fq_6,,
fig,/m/043nyj,,
filing_cabinet,/m/047j0r,,
fire_extinguisher,,,
fire_hydrant,/m/01pns0,fire hydrant,object--fire-hydrant
fire_truck,,,
fireplace,/m/03tw93,,
fish,,,
fishing_rod,,,
flag,/m/03120,,
flashlight,/m/01kb5b,,
flask,,,
flower,,,
flowerpot,/m/0fm3zh,,
flute,/m/0l14j_,,
folder,,,
food_processor,/m/03y6mg,,
foot,/m/031n1,,
football_helmet,/m/07qxg_,,
fork,/m/0dt3t,fork,
fountain,/m/0220r2,,
fox,/m/0306r,,
french_fries,/m/02y6n,,
french_horn,/m/0319l,,
frisbee,,frisbee,
frog,/m/09ld4,,
frying_pan,/m/04v6l4,,
game_board,,,
garden_asparagus,/m/0cjs7,,
garlic,,,
gas_stove,/m/02wv84t,,
giraffe,/m/03bk1,giraffe,
girl,/m/05r655,,
globe,,,
glove,,,
goat,/m/03fwl,,
goggles,/m/02_n6y,,
goldfish,/m/03fj2,,
golf_ball,/m/044r5d,,
golf_cart,/m/0323sq,,
golf_club,,,
gondola,/m/02068x,,
goose,/m/0dbvp,,
grape,/m/0388q,,
grapefruit,/m/0hqkz,,
green_beans,,,
green_onion,,,
ground_animal,,,animal--ground-animal
guacamole,/m/02g30s,,
guitar,/m/0342h,,
hair,/m/03q69,,
hair_dryer,,hair drier,
hamburger,/m/0cdn1,,
hammer,,,
hamster,/m/03qrc,,
hand,/m/0k65p,,
handbag,/m/080hkjn,handbag,
handcart,,,object--vehicle--wheeled-slow
handgun,/m/0gxl3,,
hanger,,,
harbor_seal,/m/02l8p9,,
harp,/m/03m5k,,
harpsichord,/m/03q5t,,
hat,,,
head,/m/04hgtk,,
headphone,/m/01b7fy,,
helicopter,/m/09ct_,,
helmet,,,
high_heels,/m/06k2mb,,
hockey_stick,,,
honeycomb,/m/0fz0h,,
horse,/m/03k3r,horse,
horse_carriage,,,
hot_air_balloon,,,
hot_dog,/m/01b9xk,hot dog,
house,/m/03jm5,,
hoverboard,,,
hurdle,,,
ice_cream,/m/0cxn2,,
induction_stove,,,
infant_bed,/m/061hd_,,
jacket,/m/032b3c,,
jaguar,/m/0449p,,
jeans,/m/0fly7,,
jellyfish,/m/0d8zb,,
jet_ski,/m/01xs3r,,
jug,/m/08hvt4,,
juice,/m/01z1kdw,,
junction_box,,,object--junction-box
kangaroo,/m/04c0y,,
kettle,/m/03s_tn,,
key,,,
kitchen_and_dining_room_table,/m/0h8n5zk,,
kitchen_knife,/m/058qzx,,
kite,/m/02zt3,kite,
kiwi_fruit,,,
knife,/m/04ctx,knife,
ladder,/m/012w5l,,
ladybug,/m/0gj37,,
lamp,/m/0dtln,,
land_vehicle,,,object--vehicle--other-vehicle
lantern,/m/01jfsr,,
laptop,/m/01c648,laptop,
lavender,/m/04gth,,
leather_shoes,,,
leg,/m/035r7c,,
lemon,/m/09k_b,,
leopard,/m/0c29q,,
lettuce,,,
license_plate,/m/01jfm_,,
lifesaver,,,
light_bulb,/m/0h8l4fh,,
light_switch,/m/03jbxj,,
lighter,,,
lighthouse,/m/04h7h,,
lily,/m/0jqgx,,
limousine,/m/01lcw4,,
lion,/m/096mb,,
lipstick,,,
lizard,/m/04m9y,,
lobster,/m/0cjq5,,
loudspeaker,,,
luggage_and_bags,,,
lynx,/m/04g2r,,
mailbox,,,object--mailbox
man,/m/04yx4,,
mango,/m/0fldg,,
manhole,,,object--manhole
maple,/m/0cffdh,,
marker,,,
mask,,,
measuring_cup,/m/07v9_z,,
meatball,,,
medal,,,
megaphone,,,
microphone,/m/0hg7b,,
microwave,/m/0fx9l,microwave,
miniskirt,/m/01cmb2,,
mirror,/m/054_l,,
missile,/m/04ylt,,
mixer,/m/063rgb,,
mobile_phone,/m/050k8,cell phone,
monkey,/m/08pbxl,,
mop,,,
motorcycle,/m/04_sv,motorcycle,object--vehicle--motorcycle
motorcyclist,,,human--rider--motorcyclist
mouse,/m/04rmv,mouse,
mouth,/m/0283dt1,,
muffin,/m/01tcjp,,
mug,/m/02jvh9,,
mule,/m/0dbzx,,
mushroom,/m/052sf,,
musical_keyboard,/m/057cc,,
nail,/m/05bm6,,
napkin,,,
necklace,/m/01llwg,,
nightstand,/m/02z51p,,
noodle,,,
nose,/m/0k0pj,,
nut,,,
oboe,/m/05kms,,
office_building,/m/021sj1,,
okra,,,
onion,,,
orange,/m/0cyhj_,orange,
organ,/m/013y1f,,
ostrich,/m/05n4y,,
otter,/m/0cn6p,,
oven,/m/029bxz,oven,
owl,/m/09d5_,,
oyster,/m/0_cp5,,
paddle,/m/014y4n,,
paintbrush,,,
palm_tree,/m/0cdl1,,
pancake,/m/01dwwc,,
papaya,,,
paper,,,
paper_towel,/m/02w3r3,,
parachute,/m/0cyfs,,
parking_meter,,parking meter,
parrot,/m/0gv1x,,
party_balloon,,,
pasta,/m/05z55,,
peach,/m/0dj6p,,
pear,/m/061_f,,
pen,/m/0k1tl,,
pencil_case,,,
penguin,/m/05z6w,,
pepper,,,
person,,person,human--person
personal_care,,,
personal_flotation_device,/m/054xkw,,
phone_booth,,,object--phone-booth
piano,/m/05r5c,,
pickup_truck,,,
picnic_basket,/m/07kng9,,
picture_frame,/m/06z37_,,
pie,,,
pig,/m/068zj,,
pigeon,,,
pillow,/m/034c16,,
pineapple,/m/0fp6w,,
pitcher,/m/054fyh,,
pizza,/m/0663v,pizza,
plain_crosswalk,,,construction--flat--crosswalk-plain
plastic_bag,/m/05gqfk,,
plate,/m/050gv4,,
platter,/m/099ssp,,
playing_card,,,
pliers,,,
plum,,,
polar_bear,/m/0633h,,
pole,,,object--support--pole
pomegranate,/m/0jwn_,,
popcorn,/m/01hrv5,,
porch,/m/04m6gz,,
porcupine,/m/0c568,,
poster,/m/01n5jq,,
pot,,,
potato,/m/05vtc,,
potato_chip,,,
potted_plant,/m/03fp41,potted plant,
power_brick,,,
power_outlet,,,
power_plugs_and_sockets,/m/03bbps,,
pressure_cooker,/m/0h8ntjv,,
pretzel,/m/01f91_,,
printer,/m/01m4t,,
projector,,,
pumpkin,/m/05zsy,,
punching_bag,/m/0420v5,,
purse,,,
rabbit,/m/06mf6,,
raccoon,/m/0dq75,,
race_car,,,
radiator,,,
radish,/m/015x5n,,
raven,/m/06j2d,,
recorder,,,
red_cabbage,,,
refrigerator,/m/040b_t,refrigerator,
remote,,remote,
rhinoceros,/m/03d443,,
rice,,,
rice_cooker,,,
rickshaw,,,
rider,,,human--rider--other-rider
rifle,/m/06c54,,
ring,,,
ring_binder,/m/04zwwv,,
rocket,/m/09rvcxw,,
roll_of_tobacco,,,
roller_skates,/m/02p3w7d,,
rose,/m/06m11,,
router,,,
rug,,,
rugby_ball,/m/0wdt60w,,
ruler,/m/0hdln,,
sailboat,,,
salad,/m/0grw1,,
salt_and_pepper_shakers,/m/02x8cch,,
sandal,/m/03nfch,,
sandwich,,sandwich,
saucer,/m/03q5c7,,
sausage,,,
saxophone,/m/06ncr,,
scale,,,
scallop,,,
scarf,/m/02h19r,,
scissors,/m/01lsmm,scissors,
scooter,,,
scoreboard,/m/057p5t,,
screwdriver,/m/01bms0,,
sea_lion,/m/0gd36,,
sea_turtle,/m/0120dh,,
seahorse,/m/0nybt,,
seal,,,
seat_belt,/m/0dkzw,,
segway,/m/076bq,,
serving_tray,/m/0h8n27j,,
sewing_machine,/m/0llzx,,
shark,/m/0by6g,,
sheep,/m/07bgp,sheep,
shelf,/m/0gjbg72,,
ship,,,
shirt,/m/01n4qj,,
shoes,,,
shorts,/m/01bfm9,,
shotgun,/m/06nrc,,
shovel,,,
showerhead,/m/02f9f_,,
shrimp,/m/0ll1f78,,
side_table,,,
sink,/m/0130jx,sink,
skateboard,/m/06_fw,skateboard,
ski,/m/071p9,skis,
ski_boot,,,
skull,/m/016m2d,,
skyscraper,/m/079cl,,
slide,,,
slippers,,,
slow_cooker,/m/02tsc9,,
snail,/m/0f9_l,,
snake,/m/078jl,,
sneakers,,,
snowboard,/m/06__v,snowboard,
snowman,/m/0152hh,,
snowmobile,/m/01x3jk,,
snowplow,/m/04vv5k,,
soccer_ball,,,
sock,/m/01nq26,,
sofa_bed,/m/03m3pdh,,
sombrero,/m/02jfl0,,
sparrow,/m/0h23m,,
spatula,/m/02d1br,,
speed_limit_sign,,,
spider,/m/09kmb,,
spoon,/m/0cmx8,spoon,
sports_car,,,
sports_uniform,/m/0h8mhzd,,
spring_rolls,,,
squirrel,/m/071qp,,
stairs,/m/01lynh,,
stapler,,,
starfish,/m/01h8tj,,
stationary_bicycle,/m/03kt2w,,
steak,,,
stool,/m/0fqt361,,
stop_sign,/m/02pv19,stop sign,
strawberry,/m/07fbm7,,
streetlight,/m/033rq4,,object--street-light
stretcher,/m/02lbcq,,
striped_crosswalk,,,marking--crosswalk-zebra
stroller,,,
studio_couch,/m/026qbn5,,
submarine_sandwich,/m/06pcq,,
suit,/m/01xyhv,,
suitcase,/m/01s55n,suitcase,
sun_hat,/m/02wbtzl,,
sunflower,/m/0ftb8,,
sunglasses,/m/017ftj,,
surfboard,/m/019w40,surfboard,
surveillance_camera,,,object--cctv-camera
sushi,/m/07030,,
suv,,,
swan,/m/0dftk,,
swim_cap,/m/04tn4x,,
swimming_pool,/m/0b_rs,,
swimwear,/m/01gkx_,,
swing,,,
sword,/m/06y5r,,
table_tennis_ball,,,
table_tennis_racket,/m/05_5p_0,,
tablet_computer,/m/0bh9flk,,
taco,/m/07crc,,
tank,/m/07cmd,,
tap,/m/02jz0l,,
target,,,
tart,/m/02zvsm,,
taxi,/m/0pg52,,
tea,/m/07clx,,
teapot,/m/01fh4r,,
teddy_bear,/m/0kmg4,teddy bear,
telephone,,,
television_set,/m/07c52,tv,
tennis_ball,/m/05ctyq,,
tennis_racket,/m/0h8my_4,tennis racket,
tent,/m/01j61q,,
tiara,/m/01krhy,,
tick,/m/0175cv,,
tie,/m/01rkbr,tie,
tiger,/m/07dm6,,
tin_can,/m/02jnhm,,
tire,/m/0h9mv,,
tissue,,,
toaster,/m/01k6s3,toaster,
toilet,/m/09g1w,toilet,
toilet_paper,/m/09gtd,,
tomato,/m/07j87,,
tongs,,,
toothbrush,,toothbrush,
torch,/m/07dd4,,
tortoise,/m/011k07,,
towel,/m/0162_1,,
tower,/m/01fdzj,,
toy,,,
traffic_cone,,,
traffic_light,/m/015qff,traffic light,object--traffic-light
traffic_sign_backside,,,object--traffic-sign--back
traffic_sign_frame,,,object--support--traffic-sign-frame
traffic_sign_front,,,object--traffic-sign--front
trailer,,,object--vehicle--trailer
train,/m/07jdr,train,
training_bench,/m/076lb9,,
treadmill,/m/030610,,
tricycle,,,
tripod,/m/073bxn,,
trombone,/m/07c6l,,
trophy,,,
truck,/m/07r04,truck,object--vehicle--truck
trucking_rig,,,
trumpet,/m/07gql,,
tuba,,,
turkey,/m/0jly1,,
umbrella,/m/0hnnb,umbrella,
urinal,,,
utility_pole,,,object--support--utility-pole
van,/m/0h2r6,,
vase,/m/02s195,vase,
vegetable,,,
video_display,,,
violin,/m/07y_7,,
volleyball,/m/02rgn06,,
waffle,/m/01dwsz,,
wall_clock,/m/0h8mzrc,,
washing_machine,/m/0174k2,,
waste_container,/m/0bjyj5,,object--trash-can
watch,/m/0gjkl,,
watermelon,/m/0kpqd,,
whale,/m/084zz,,
wheel,/m/083wq,,
wheelchair,/m/0qmmr,,
whiteboard,/m/02d9qx,,
willow,/m/0mw_6,,
window,/m/0d4v4,,
window_blind,/m/031b6r,,
wine,/m/081qc,,
wine_glass,/m/09tvcd,wine glass,
winter_melon,/m/02cvgx,,
wok,/m/084rd,,
woman,/m/03bt1vf,,
wood-burning_stove,/m/04169hn,,
woodpecker,/m/01dy8n,,
wrench,/m/01j5ks,,
yak,,,
zebra,/m/0898b,zebra,
zucchini,/m/027pcv,,
